# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 96K of event 'cycles:Pu'
# Event count (approx.): 82608000763
#
# Overhead  Command          Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  ....................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     2.04%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true>::_M_cget() const
     2.03%  spgemm_cpu_exec  spgemm_cpu_exec       [.] spgemm_cpu(CSRMatrix const&, CSRMatrix const&, CSRMatrix&) [clone ._omp_fn.0]
     1.94%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::pair<std::__detail::_Node_iterator<int, true, false>, bool>::pair<std::__detail::_Node_iterator<int, true, false>, bool, true>(std::__detail::_Node_iterator<int, true, false>&&, bool&&)
     1.94%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::_Hashtable<int, std::pair<int const, float>, std::allocator<std::pair<int const, float> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_node(unsigned long, int const&, unsigned long) const
     1.73%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_node(unsigned long, int const&, unsigned long) const
     1.57%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Insert_base<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::insert(int const&)
     1.41%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hashtable_base<int, std::pair<int const, float>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(int const&, unsigned long, std::__detail::_Hash_node_value<std::pair<int const, float>, false> const&) const
     1.38%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_M_equals(int const&, unsigned long, std::__detail::_Hash_node_value<int, false> const&) const
     1.36%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hash_code_base<int, std::pair<int const, float>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
     1.36%  spgemm_cpu_exec  spgemm_cpu_exec       [.] int const& std::__detail::_Identity::operator()<int const&>(int const&) const
     1.26%  spgemm_cpu_exec  libc.so.6             [.] __GI___printf_fp_l
     1.19%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Node_iterator_base<int, false>::_Node_iterator_base(std::__detail::_Hash_node<int, false>*)
     1.19%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::hash<int>::operator()(int) const
     1.13%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hash_code_base<int, std::pair<int const, float>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
     1.04%  spgemm_cpu_exec  spgemm_cpu_exec       [.] decltype ((get<0>)((forward<std::pair<int const, float> const&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<int const, float> const&>(std::pair<int const, float> const&) const
     1.04%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > >::_AllocNode(std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >&)
     1.03%  spgemm_cpu_exec  spgemm_cpu_exec       [.] __gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > >::operator*() const
     1.01%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hash_node_value_base<std::pair<int const, float> >::_M_valptr()
     0.95%  spgemm_cpu_exec  spgemm_cpu_exec       [.] __gnu_cxx::__aligned_buffer<std::pair<int const, float> >::_M_ptr()
     0.93%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Insert_base<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_conjure_hashtable()
     0.85%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Node_iterator<int, true, false>&& std::forward<std::__detail::_Node_iterator<int, true, false> >(std::remove_reference<std::__detail::_Node_iterator<int, true, false> >::type&)
     0.83%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::vector<float, std::allocator<float> >::operator[](unsigned long) const
     0.83%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
     0.81%  spgemm_cpu_exec  spgemm_cpu_exec       [.] spgemm_cpu(CSRMatrix const&, CSRMatrix const&, CSRMatrix&)::{lambda(std::pair<int, float> const&, std::pair<int, float> const&)#1}::operator()(std::pair<int, float> const&, std::pair<int, float> const&) const
     0.75%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::_Hashtable<int, std::pair<int const, float>, std::allocator<std::pair<int const, float> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(unsigned long) const
     0.73%  spgemm_cpu_exec  spgemm_cpu_exec       [.] __gnu_cxx::__aligned_buffer<std::pair<int const, float> >::_M_addr() const
     0.72%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hash_node_value_base<int>::_M_v() const
     0.72%  spgemm_cpu_exec  spgemm_cpu_exec       [.] int const& std::__pair_get<0ul>::__const_get<int const, float>(std::pair<int const, float> const&)
     0.72%  spgemm_cpu_exec  libc.so.6             [.] _int_malloc
     0.68%  spgemm_cpu_exec  spgemm_cpu_exec       [.] __gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > >, __gnu_cxx::__ops::_Iter_comp_iter<spgemm_cpu(CSRMatrix const&, CSRMatrix const&, CSRMatrix&)::{lambda(std::pair<int, float> const&, std::pair<int, float> const&)#1}> >(__gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > >, __gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > >, __gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > >, __gnu_cxx::__ops::_Iter_comp_iter<spgemm_cpu(CSRMatrix const&, CSRMatrix const&, CSRMatrix&)::{lambda(std::pair<int, float> const&, std::pair<int, float> const&)#1}>)
     0.67%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hash_node_value_base<std::pair<int const, float> >::_M_v() const
     0.64%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(unsigned long) const
     0.63%  spgemm_cpu_exec  spgemm_cpu_exec       [.] __gnu_cxx::__aligned_buffer<int>::_M_addr() const
     0.62%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
     0.62%  spgemm_cpu_exec  spgemm_cpu_exec       [.] __gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > >::operator--()
     0.61%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hash_node_value_base<std::pair<int const, float> >::_M_valptr() const
     0.61%  spgemm_cpu_exec  libgomp.so.1.0.0      [.] 0x0000000000020606
     0.56%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hash_node_value_base<int>::_M_valptr() const
     0.55%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::pair<int const, float> const& std::forward<std::pair<int const, float> const&>(std::remove_reference<std::pair<int const, float> const&>::type&)
     0.54%  spgemm_cpu_exec  spgemm_cpu_exec       [.] __gnu_cxx::__aligned_buffer<std::pair<int const, float> >::_M_addr()
     0.53%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::unordered_map<int, float, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, float> > >::operator[](int const&)
     0.53%  spgemm_cpu_exec  spgemm_cpu_exec       [.] __gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > >::operator++()
     0.52%  spgemm_cpu_exec  libc.so.6             [.] malloc
     0.49%  spgemm_cpu_exec  spgemm_cpu_exec       [.] __gnu_cxx::__aligned_buffer<std::pair<int const, float> >::_M_ptr() const
     0.47%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Node_iterator<int, true, false>::_Node_iterator(std::__detail::_Hash_node<int, false>*)
     0.46%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::tuple_element<0ul, std::pair<int const, float> >::type const& std::get<0ul, int const, float>(std::pair<int const, float> const&)
     0.41%  spgemm_cpu_exec  spgemm_cpu_exec       [.] __gnu_cxx::__aligned_buffer<int>::_M_ptr() const
     0.40%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> >::insert(int const&)
     0.39%  spgemm_cpu_exec  libc.so.6             [.] _int_free
     0.38%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hash_code_base<int, std::pair<int const, float>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long, unsigned long) const
     0.36%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::pair<int, float>::operator=(std::pair<int, float>&&)
     0.33%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long, unsigned long) const
     0.33%  spgemm_cpu_exec  spgemm_cpu_exec       [.] bool&& std::forward<bool>(std::remove_reference<bool>::type&)
     0.33%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hash_node_value_base<std::pair<int const, float> >::_M_v()
     0.32%  spgemm_cpu_exec  spgemm_cpu_exec       [.] void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > >, __gnu_cxx::__ops::_Val_comp_iter<spgemm_cpu(CSRMatrix const&, CSRMatrix const&, CSRMatrix&)::{lambda(std::pair<int, float> const&, std::pair<int, float> const&)#1}> >(__gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > >, __gnu_cxx::__ops::_Val_comp_iter<spgemm_cpu(CSRMatrix const&, CSRMatrix const&, CSRMatrix&)::{lambda(std::pair<int, float> const&, std::pair<int, float> const&)#1}>)
     0.32%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hash_node<std::pair<int const, float>, false>::_M_next() const
     0.31%  spgemm_cpu_exec  libc.so.6             [.] __vfprintf_internal
     0.30%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_M_eq() const
     0.26%  spgemm_cpu_exec  libc.so.6             [.] malloc_consolidate
     0.26%  spgemm_cpu_exec  libstdc++.so.6.0.30   [.] std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
     0.24%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hashtable_base<int, std::pair<int const, float>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
     0.24%  spgemm_cpu_exec  libgomp.so.1.0.0      [.] 0x00000000000207be
     0.23%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hash_node<int, false>* std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_allocate_node<int const&>(int const&)
     0.23%  spgemm_cpu_exec  libc.so.6             [.] hack_digit
     0.23%  spgemm_cpu_exec  spgemm_cpu_exec       [.] bool __gnu_cxx::operator< <std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > >(__gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > > const&, __gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > > const&)
     0.23%  spgemm_cpu_exec  spgemm_cpu_exec       [.] bool __gnu_cxx::__ops::_Iter_comp_iter<spgemm_cpu(CSRMatrix const&, CSRMatrix const&, CSRMatrix&)::{lambda(std::pair<int, float> const&, std::pair<int, float> const&)#1}>::operator()<__gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > >, __gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > > >(__gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > >, __gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > >)
     0.22%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hashtable_base<int, std::pair<int const, float>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_S_equals(unsigned long, std::__detail::_Hash_node_code_cache<false> const&)
     0.21%  spgemm_cpu_exec  libc.so.6             [.] __mpn_mul_1
     0.21%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<float> >, std::is_move_constructible<float>, std::is_move_assignable<float> >::value, void>::type std::swap<float>(float&, float&)
     0.21%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hash_node<int, false>::_M_next() const
     0.20%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hash_node<std::pair<int const, float>, false>* std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<int const, float>, false> > >::_M_allocate_node<std::piecewise_construct_t const&, std::tuple<int const&>, std::tuple<> >(std::piecewise_construct_t const&, std::tuple<int const&>&&, std::tuple<>&&)
     0.20%  spgemm_cpu_exec  libc.so.6             [.] cfree@GLIBC_2.2.5
     0.19%  spgemm_cpu_exec  libstdc++.so.6.0.30   [.] std::basic_filebuf<char, std::char_traits<char> >::xsputn(char const*, long)
     0.19%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&)
     0.18%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_S_equals(unsigned long, std::__detail::_Hash_node_code_cache<false> const&)
     0.18%  spgemm_cpu_exec  libstdc++.so.6.0.30   [.] std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_float<double>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, char, double) const
     0.17%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_bucket_begin(unsigned long, std::__detail::_Hash_node<int, false>*)
     0.17%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::tuple<int const&>&& std::forward<std::tuple<int const&> >(std::remove_reference<std::tuple<int const&> >::type&)
     0.17%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hash_node_base::_Hash_node_base()
     0.17%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<std::pair<int const, float>, false> >, true>::_M_get()
     0.16%  spgemm_cpu_exec  libstdc++.so.6.0.30   [.] std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::_M_extract_float(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, std::_Ios_Iostate&, std::string&) const
     0.16%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::_Hashtable<int, std::pair<int const, float>, std::allocator<std::pair<int const, float> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_bucket_begin(unsigned long, std::__detail::_Hash_node<std::pair<int const, float>, false>*)
     0.16%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_rehash_aux(unsigned long, std::integral_constant<bool, true>)
     0.15%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::_Hashtable<int, std::pair<int const, float>, std::allocator<std::pair<int const, float> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_rehash_aux(unsigned long, std::integral_constant<bool, true>)
     0.15%  spgemm_cpu_exec  libc.so.6             [.] unlink_chunk.constprop.0
     0.14%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_Scoped_node::_Scoped_node(std::__detail::_Hash_node<int, false>*, std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >*)
     0.14%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::_Hashtable<int, std::pair<int const, float>, std::allocator<std::pair<int const, float> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_Scoped_node::_Scoped_node<std::piecewise_construct_t const&, std::tuple<int const&>, std::tuple<> >(std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<int const, float>, false> > >*, std::piecewise_construct_t const&, std::tuple<int const&>&&, std::tuple<>&&)
     0.14%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Prime_rehash_policy::_M_state() const
     0.14%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_node_allocator()
     0.14%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::piecewise_construct_t const& std::forward<std::piecewise_construct_t const&>(std::remove_reference<std::piecewise_construct_t const&>::type&)
     0.14%  spgemm_cpu_exec  libc.so.6             [.] _IO_str_init_static_internal
     0.13%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<int const, float>, false> > >::_M_node_allocator()
     0.13%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<int, false> >, true>::_M_get()
     0.13%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node_value<int, false> const&, unsigned long) const
     0.13%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<int, false>*, unsigned long)
     0.13%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::pair<int, float>::pair<int const, float, true>(std::pair<int const, float> const&)
     0.12%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::_Hashtable<int, std::pair<int const, float>, std::allocator<std::pair<int const, float> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<int const, float>, false>*, unsigned long)
     0.12%  spgemm_cpu_exec  spgemm_cpu_exec       [.] operator new(unsigned long, void*)
     0.12%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Hash_code_base<int, std::pair<int const, float>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node_value<std::pair<int const, float>, false> const&, unsigned long) const
     0.12%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::pair<std::__detail::_Node_iterator<int, true, false>, bool>::pair<std::__detail::_Node_iterator<int, true, false>&, bool, true>(std::__detail::_Node_iterator<int, true, false>&, bool&&)
     0.12%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::__detail::_Node_iterator_base<std::pair<int const, float>, false>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<int const, float>, false>*)
     0.12%  spgemm_cpu_exec  spgemm_cpu_exec       [.] std::remove_reference<std::pair<int, float>&>::type&& std::move<std::pair<int, float>&>(std::pair<int, float>&)
     0.11%  spgemm_cpu_exec  libstdc++.so.6.0.30   [.] std::basic_streambuf<char, std::char_traits<char> >::xsputn(char const*, long)
